no;title;rating_avg;rating_total;year
146;Smrt krásných srnců;86.1;37621;1986
147;Olověná vesta;86.1;31590;1987
148;Černobílý svět;86.2;24016;2011
149;Sloní muž;86.1;18981;1980
150;Hledá se Nemo;86.0;76519;2003
151;Kolja;86.0;64267;1996
152;Limonádový Joe aneb Koňská opera;86.0;46284;1964
153;Zmizení;86.0;44729;2013
154;Dobrý voják Švejk;86.1;43114;1956
155;Život Briana;86.1;34404;1979
156;Apokalypsa;86.0;26191;1979
157;Společnost mrtvých básníků;86.0;21726;1989
158;Most přes řeku Kwai;86.0;21172;1957
159;Zpívání v dešti;86.1;10997;1952
160;Ratatouille;85.9;72367;2007
161;Skrytá identita;85.9;52250;2006
162;Návrat do budoucnosti II;85.9;49396;1989
163;Gentlemani;86.0;28921;2019
164;Pink Floyd: The Wall;86.0;19002;1982
165;Carlitova cesta;86.0;17479;1993
166;Kid;86.0;9119;1921
167;Rozzum v divočině;86.1;5769;2024
168;Avengers: Infinity War;85.8;44250;2018
169;Gauneři;85.8;39845;1992
170;Všichni dobří rodáci;85.9;18429;1968
171;Život je krásný;85.9;8714;1946
172;Tvoje jméno.;86.0;5485;2016
173;Harry Potter a vězeň z Azkabanu;85.8;88135;2004
174;Králova řeč;85.7;55171;2010
175;Slavnosti sněženek;85.7;51743;1983
176;Četník ze Saint Tropez;85.7;50195;1964
177;Svět podle Prota;85.7;40632;2001
178;Spider-Man: Paralelní světy;85.8;22642;2018
179;Ucho;85.8;18494;1970
180;Nebe a dudy;85.8;11110;1941
181;Obchodník se smrtí;85.6;56865;2005
182;Skála;85.6;55378;1996
183;Toy Story: Příběh hraček;85.6;54328;1995
184;Věc;85.6;36640;1982
185;Poslušně hlásím;85.7;29961;1957
186;Whiplash;85.6;28373;2014
187;Česká soda;85.7;24385;1998
188;Přednosta stanice;85.6;24290;1941
189;Ducháček to zařídí;85.6;21656;1938
190;Okno do dvora;85.7;16238;1954
191;Diktátor;85.7;11256;1940
192;Láska nebeská;85.5;76632;2003
193;Agent bez minulosti;85.5;55095;2002
194;Bournův mýtus;85.5;50889;2004
195;Rambo: První krev;85.5;44322;1982
196;Vlny;85.5;18691;2024
197;Velký útěk;85.6;15012;1963
198;Interstellar;85.4;67093;2014
199;96 hodin;85.4;56172;2008
200;Jáchyme, hoď ho do stroje!;85.4;49769;1974
201;Hačikó - příběh psa;85.4;24993;2009
202;Těžká váha;85.4;21982;2005
203;Howlův kráčející hrad;85.4;19265;2004
204;Stezky slávy;85.5;6872;1957
205;Poklad na Stříbrném jezeře;85.3;30806;1962
206;Stvoření světa;85.4;25435;1957
207;Ip Man;85.4;22963;2008
208;Zvíře;85.4;21715;1977
209;Příběh z Bronxu;85.4;16171;1993
210;Tichá bolest;85.4;9148;1990
211;Sunset Boulevard;85.4;8952;1950
212;Bio Ráj;85.5;5891;1988
213;Vlkochodci;85.6;3424;2020
214;Chainsaw Man – Film: Reze Arc;86.8;699;2025
215;VALL-I;85.2;52789;2008
216;Nekonečný příběh;85.3;51258;1984
217;Příšerky s.r.o.;85.2;49495;2001
218;Útěk do divočiny;85.2;42796;2007
219;Návrat do budoucnosti III;85.2;40761;1990
220;Neúplatní;85.2;26829;1987
221;Muž z Acapulca;85.3;24872;1973
222;Absolvent;85.3;22508;1967
223;Kramerová versus Kramer;85.3;13626;1979
224;Nebeští jezdci;85.3;11922;1968
225;Vzpomínky na lásku;85.3;11319;2004
226;Atentát;85.3;10532;1964
227;Ve jménu otce;85.3;10142;1993
228;Moderní doba;85.4;7339;1936
229;Titanic;85.1;96150;1997
230;Joker;85.1;45299;2019
231;Adéla ještě nevečeřela;85.1;40827;1978
232;Kmotr III;85.1;32288;1990
233;Velký flám;85.2;20347;1966
234;My Fair Lady;85.2;18771;1964
235;Zlo mezi námi;85.2;15901;2003
236;JFK;85.2;13370;1991
237;Ben Hur;85.1;11446;1959
238;Norimberský proces;85.3;4534;1961
239;Lepší už to nebude;85.1;43700;1997
240;Philadelphia;85.0;36591;1993
241;Musíme si pomáhat;85.0;36131;2000
242;Páni kluci;85.0;28481;1975
243;Fimfárum Jana Wericha;85.0;25500;2002
244;Metropolis;85.2;8261;1927
245;Frigo na mašině;85.2;5336;1926
246;Ten den přijde;85.5;1994;2016
247;Volný pád;85.0;33207;1993
248;Kulový blesk;85.0;32818;1978
249;Asterix v Británii;84.9;18618;1986
250;Mach a Šebestová k tabuli!;85.0;15536;1985
251;Malý velký muž;84.9;13430;1970
252;Happy end;85.0;7673;1967
253;Dva muži ve městě;85.1;7483;1973
254;Bídníci;85.1;5998;1958
255;Velká země;85.1;4806;1958
256;Jean od Floretty;85.2;3828;1986
257;Svědek obžaloby;85.2;2887;1957
258;X-Men: První třída;84.8;54732;2011
259;Poslední samuraj;84.9;50308;2003
260;Fantomas;84.8;30587;1964
261;Poslední Mohykán;84.8;30188;1992
262;Co žere Gilberta Grapea;84.9;26092;1993
263;Vinnetou;84.9;24218;1963
264;Skleněné peklo;84.9;20342;1974
265;Skřivánci na niti;84.9;18268;1969
266;O myších a lidech;84.9;13624;1992
267;Profesionál;84.9;13515;1981
268;Na sever Severozápadní linkou;84.9;10560;1959
269;Laputa: Nebeský zámek;84.9;8900;1986
270;Hrob světlušek;85.0;6680;1988
271;Pahorek;84.9;6508;1965
272;Světla velkoměsta;85.1;3596;1931
273;Krtek;85.4;1774;2011
274;Zmizelá;84.7;52493;2014
275;Ďáblův advokát;84.7;39419;1997
276;Čelisti;84.7;38632;1975
277;Zootropolis: Město zvířat;84.8;36165;2016
278;Hoří, má panenko;84.7;29315;1967
279;Ecce homo Homolka;84.8;25254;1969
280;Lady a Tramp;84.8;13866;1955
281;Kocour v botách: Poslední přání;84.8;11548;2022
282;Payback: Straight Up;84.8;5824;2006
283;Volyň;84.9;5626;2016
284;Na západní frontě klid;85.1;2746;1930
285;Sowon;85.3;1709;2013
286;Amélie z Montmartru;84.6;54288;2001
287;Žhavé výstřely 2;84.6;40961;1993
288;Toy Story 2: Příběh hraček;84.6;36273;1999
289;Apollo 13;84.6;35687;1995
290;Na Hromnice o den více;84.6;32324;1993
291;Crash;84.7;30907;2004
292;Planeta opic;84.7;29928;1968
293;Let číslo 93;84.7;24196;2006
294;Mary a Max;84.7;21577;2009
295;Jestli se rozzlobíme, budeme zlí;84.7;21063;1974
296;Kristian;84.7;17910;1939
297;Baron Prášil;84.7;15247;1961
298;Životy těch druhých;84.7;13319;2006
299;Romeo a Julie;84.7;9354;1968
300;Naušika z Větrného údolí;84.7;8776;1984
301;Hořící Mississippi;84.8;7528;1988
302;Otec;84.8;5670;2020
303;Manon od pramene;84.9;3165;1986
304;Dnes naposled;84.9;2675;1958
305;Harakiri;85.0;2395;1962
306;Koe no katači;85.0;2251;2016
307;Velká ryba;84.5;40425;2003
308;Bláznivá střela;84.5;33725;1988
309;Výměna;84.5;32056;2008
310;Nepřítel státu;84.5;28444;1998
311;Pravidla moštárny;84.5;27090;1999
312;Billy Elliot;84.6;18867;2000
313;Eva tropí hlouposti;84.5;14831;1939
314;Můj soused Totoro;84.6;12222;1988
315;Asterix a překvapení pro Cézara;84.6;11586;1985
316;Železný obr;84.6;10359;1999
317;Persepolis;84.6;10342;2007
318;V zajetí rychlosti;84.6;10229;2005
319;Den Šakala;84.7;8937;1973
320;Barry Lyndon;84.6;7791;1975
321;Gándhí;84.6;7692;1982
322;Píseň moře;84.7;7464;2014
323;Lawrence z Arábie;84.6;7060;1962
324;Kočka na rozpálené plechové střeše;84.6;6931;1958
325;Byt;84.7;6509;1960
326;Shake Hands with the Devil;84.7;4204;2007
327;Pohádka o Honzíkovi a Mařence;84.8;4175;1980
328;Pohádky tisíce a jedné noci;84.8;3388;1974
329;Vrah mezi námi;84.9;2372;1931
330;Dangal;85.0;1996;2016
331;Světla ramp;85.0;1951;1952
332;Dobrodružství Robinsona Crusoe, námořníka z Yorku;85.0;1880;1981
333;Nebe a peklo;85.3;1351;1963
334;Písečná žena;85.5;1059;1964
335;Střihoruký Edward;84.4;65545;1990
336;Doba ledová;84.5;63337;2002
337;Věčný svit neposkvrněné mysli;84.4;48907;2004
338;21 gramů;84.5;34601;2003
339;Vlasy;84.5;24059;1979
340;„Čtyři vraždy stačí, drahoušku“;84.5;22033;1970
341;Zuřící býk;84.5;16821;1980
342;Klepání na nebeskou bránu;84.4;15595;1997
343;The Doors;84.4;15281;1991
344;Podivné dědictví;84.5;13278;1972
345;Údolí včel;84.5;9822;1967
346;Čekej do tmy;84.5;8923;1967
347;Ukradená vzducholoď;84.5;7460;1966
348;Rodinná oslava;84.6;6183;1998
349;Knoflíková válka;84.5;5552;1962
350;Kabinet doktora Caligariho;84.6;5484;1920
351;Kdysi byli bojovníky;84.6;4282;1994
352;Božské děti;84.7;3556;1997
353;Andrej Rublev;84.7;3294;1966
354;Zlaté opojení;84.7;3188;1925
355;Rudovous;84.7;3035;1965
356;Umlčení;84.7;3010;2011
357;Mrtvá nevěsta Tima Burtona;84.3;54564;2005
358;Tři veteráni;84.3;46856;1983
359;Postřižiny;84.3;42953;1980
360;Telefonní budka;84.3;42681;2002
361;Spáči;84.3;21071;1996
362;Hotel Modrá hvězda;84.4;13474;1941
363;Casablanca;84.3;13310;1942
364;Kráska a zvíře;84.3;12825;1991
365;Uvnitř tančím;84.3;11856;2004
366;Mise;84.4;11157;1986
367;Chicagský tribunál;84.4;9442;2020
368;Jaro, léto, podzim, zima... a jaro;84.5;9193;2003
369;Hádej, kdo přijde na večeři;84.5;5211;1967
370;Stará puška;84.5;4071;1975
371;Zloději kol;84.6;3201;1948
372;Pojistka smrti;84.7;3112;1944
373;Krátký film o lásce;84.6;2591;1988
374;Kdo seje vítr;84.7;2395;1960
375;Ve službách papeže;84.8;1889;1965
376;Východ slunce;85.0;1539;1927
377;Na vlásku;84.2;48748;2010
378;Úžasňákovi;84.2;46099;2004
379;Wind River;84.2;29104;2017
380;Ukradené Vánoce;84.3;26922;1993
381;Rozpuštěný a vypuštěný;84.3;22730;1984
382;Odplata;84.2;20312;1999
383;Dr. Divnoláska aneb Jak jsem se naučil nedělat si starosti a mít rád bombu;84.3;11692;1964
384;Láska a smrt;84.4;6033;1975
385;Po stopách krve;84.4;6020;1969
386;Nejdelší den;84.5;4092;1962
387;Tři barvy: Červená;84.5;4081;1994
388;Corpus Christi;84.4;4008;2019
389;Fanny a Alexandr;84.5;3335;1982
390;Děrsu Uzala;84.5;3290;1975
391;Phar Lap: Národní hrdina;84.5;2873;1983
392;Průvodce;84.5;2818;2008
393;Za zvuků hudby;84.5;2758;1965
394;Scény z manželského života;84.6;2022;1974
395;O patro výš;84.9;1399;1923
396;Vzpoura;85.2;1008;1967
397;Podivuhodný případ Benjamina Buttona;84.1;62875;2008
398;Pátý element;84.2;62656;1997
399;Donnie Darko;84.1;44716;2001
400;Kapitán Phillips;84.1;32276;2013
401;Monty Python a Svatý Grál;84.2;21738;1975
402;Vzpomínky na Afriku;84.2;13309;1985
403;Závrať;84.2;12165;1958
404;Legenda o Mulan;84.2;11960;1998
405;Popelka;84.2;9315;1950
406;Noc na Zemi;84.2;9153;1991
407;Jak ukrást Venuši;84.2;7150;1966
408;Neviditelný host;84.3;7133;2016
409;Harold a Maude;84.2;6306;1971
410;Krvavá neděle;84.3;5656;2002
411;Bastard;84.3;5420;2023
412;Moje levá noha;84.4;3522;1989
413;Yojimbo;84.4;3415;1961
414;Paříž, Texas;84.3;3400;1984
415;Quo vadis, Aida?;84.5;2454;2020
416;Cirkus;84.7;1818;1928
417;Utrpení Panny orleánské;84.8;1611;1928
418;Nejlepší léta našeho života;84.9;1261;1946
419;Divotvůrkyně;85.5;739;1962
420;Piráti z Karibiku: Prokletí Černé perly;84.1;88011;2003
421;Hvězdný prach;84.0;48682;2007
422;Krvavý diamant;84.0;42847;2006
423;Jméno růže;84.0;24061;1986
424;Nesmiřitelní;84.0;17037;1992
425;Upír Nosferatu;84.1;9468;1922
426;Sedmá pečeť;84.1;9265;1957
427;3-iron;84.1;7208;2004
428;Unaveni sluncem;84.2;5356;1994
429;Městečko South Park: Říše fantazie;84.3;4471;2008
430;Zabíjení;84.2;3616;1956
431;Nikdo mě nemá rád;84.4;2691;1959
432;Poklad na Sierra Madre;84.5;2092;1948
433;Faust;84.7;1379;1926
434;Selhání vyloučeno;84.9;1159;1964
435;Dárek do cely č.7;85.0;987;2019
436;Byl jsem lynčován;85.0;926;1936
437;Vojna a mír;85.3;737;1965
438;Drž hubu!;83.9;59531;2003
439;Samotáři;83.9;51062;2000
440;Avengers: Endgame;83.9;39604;2019
441;Tři billboardy kousek za Ebbingem;84.0;28847;2017
442;Fargo;83.9;26356;1996
443;Tajemství hradu v Karpatech;84.0;25194;1981
444;Parazit;84.0;25032;2019
445;Blbec k večeři;84.0;13705;1998
446;Ray;84.0;10957;2004
447;Serpico;84.0;9398;1973
448;Prolomit vlny;84.1;6715;1996
449;Pouta války;84.0;6672;2004
450;Prohnilí;84.1;5626;1984
451;Kdo se bojí Virginie Woolfové?;84.1;4933;1966
452;Doktor Živago;84.2;3792;1965
453;Welkeom tu Dongmakgol;84.2;3285;2005
454;Kimssi pyoryugi;84.2;3261;2009
455;Útěk v řetězech;84.3;2680;1958
